State,Educated People,Unemployed People,Unemployment Rate %
Madhya Pradesh,513,127,24.756335282651072
Meghalaya,2303,629,27.31220147633521
Sikkim,2910,725,24.914089347079038
Andhra Pradesh,5876,722,12.287270251872021
Bihar,908,241,26.54185022026432
West Bengal,3428,693,20.215869311551927
Bihar,7311,1225,16.755573792914785
Haryana,9579,978,10.209834011901034
Jharkhand,5836,1710,29.300891021247427
Punjab,7632,1929,25.275157232704405
Sikkim,6387,955,14.952246751213401
Odisha,3181,813,25.5580006287331
Chhattisgarh,9058,1640,18.1055420622654
Telangana,7316,1340,18.31601968288682
Gujarat,8626,2077,24.078367725481105
Tripura,8497,2199,25.8797222549135
Tripura,1495,438,29.297658862876254
Madhya Pradesh,5244,725,13.825324180015256
Uttarakhand,9304,2745,29.503439380911434
Arunachal Pradesh,7336,1588,21.646673936750272
Gujarat,6850,780,11.386861313868613
Haryana,6360,1635,25.707547169811324
Telangana,9519,1446,15.190671289000946
Manipur,1989,212,10.658622423328305
Tripura,9647,2413,25.01295739608168
Nagaland,1868,414,22.1627408993576
Goa,2636,287,10.887708649468893
Uttar Pradesh,4695,1352,28.796592119275825
Maharashtra,8896,1902,21.380395683453237
Himachal Pradesh,6984,703,10.06586483390607
Jharkhand,1610,480,29.81366459627329
Rajasthan,6432,1055,16.4023631840796
Punjab,5356,557,10.399551904406273
Mizoram,4803,1097,22.83989173433271
Punjab,3604,862,23.917869034406216
Goa,3905,590,15.108834827144687
Meghalaya,9115,2189,24.01535929786067
Meghalaya,8940,2376,26.57718120805369
Andhra Pradesh,1970,538,27.30964467005076
Odisha,8754,2569,29.34658441855152
Bihar,4184,475,11.352772466539198
Tripura,7642,1754,22.95210677833028
Nagaland,5550,1159,20.882882882882882
Punjab,6230,1166,18.71589085072231
Punjab,1889,348,18.42244573848597
Punjab,4826,1035,21.446332366348944
Manipur,4003,520,12.990257307019734
Haryana,2445,528,21.595092024539877
Andhra Pradesh,1860,254,13.655913978494624
Arunachal Pradesh,3812,871,22.848898216159498
Jharkhand,6403,1473,23.00484148055599
Uttar Pradesh,8169,2095,25.645733871954953
Andhra Pradesh,1604,400,24.93765586034913
Karnataka,8414,1078,12.81198003327787
Rajasthan,8699,2347,26.9801126566272
Telangana,9957,2892,29.04489304007231
Bihar,6940,1295,18.659942363112393
Kerala,9242,2312,25.01623025319195
Odisha,8545,2345,27.442949093036862
Telangana,3097,395,12.754278333871488
Assam,4426,1312,29.64301852688658
Andhra Pradesh,4528,1133,25.022084805653712
Andhra Pradesh,3822,697,18.236525379382524
Chhattisgarh,4335,873,20.13840830449827
Sikkim,3899,570,14.619133111054117
Goa,1945,350,17.994858611825194
Gujarat,2451,652,26.601387188902486
Himachal Pradesh,5336,793,14.861319340329834
Rajasthan,9966,2401,24.091912502508528
Nagaland,3493,436,12.482107071285428
Meghalaya,6953,798,11.477060261757515
Chhattisgarh,9307,1459,15.676372622757064
Jharkhand,2310,293,12.683982683982684
Karnataka,923,228,24.702058504875406
Uttarakhand,4854,1198,24.680675731355585
Tripura,6310,1387,21.980982567353408
Arunachal Pradesh,1116,304,27.24014336917563
Arunachal Pradesh,4187,897,21.42345354669214
Haryana,5205,985,18.924111431316042
Jharkhand,5623,887,15.774497599146365
Uttar Pradesh,5033,1150,22.849195310947746
Bihar,2508,359,14.31419457735247
Gujarat,2739,428,15.626140927345746
Telangana,9971,1863,18.684184133988566
Kerala,4965,694,13.977844914400805
Manipur,941,246,26.142401700318814
Odisha,9542,1310,13.728778033955146
West Bengal,6971,2086,29.923970735905897
Andhra Pradesh,6303,1154,18.30874186895129
Manipur,3129,837,26.749760306807286
Bihar,7068,1055,14.926428975664969
Sikkim,6279,957,15.241280458671763
Madhya Pradesh,3606,1040,28.840820854132005
Uttar Pradesh,3544,637,17.974040632054177
Karnataka,9298,959,10.314046031404603
Rajasthan,865,184,21.271676300578036
Kerala,6435,1819,28.267288267288265
Chhattisgarh,7532,1203,15.971853425385024
Gujarat,9208,1746,18.961772371850564
Chhattisgarh,1944,257,13.220164609053498
Meghalaya,4144,676,16.312741312741313
Rajasthan,968,204,21.074380165289256
Bihar,6321,1571,24.853662395190636
Madhya Pradesh,4034,774,19.186911254338128
Chhattisgarh,1546,256,16.558861578266495
Rajasthan,5440,1175,21.599264705882355
Himachal Pradesh,8365,2174,25.989240884638377
Manipur,8008,1345,16.795704295704294
Meghalaya,9096,1175,12.917766051011434
Rajasthan,9273,1325,14.288795427585463
Bihar,4940,736,14.898785425101217
Uttarakhand,7871,1065,13.530682251302247
Telangana,7561,999,13.212538024070891
Meghalaya,2800,571,20.392857142857142
Maharashtra,9397,1957,20.82579546663829
Sikkim,8291,1671,20.15438427210228
Sikkim,8479,1519,17.914848449109567
Mizoram,9527,2638,27.689723942479272
Nagaland,6865,835,12.163146394756009
Goa,9725,2308,23.732647814910028
Jharkhand,1066,276,25.89118198874296
Bihar,5452,1291,23.67938371239912
Andhra Pradesh,6254,1308,20.91461464662616
Goa,9515,1806,18.980557015239096
Andhra Pradesh,4780,1363,28.514644351464437
Nagaland,6920,1167,16.86416184971098
Odisha,4521,1274,28.17960628179606
Chhattisgarh,4578,1219,26.627348186981216
Assam,1991,414,20.793571069814163
Mizoram,4075,789,19.36196319018405
Bihar,4618,570,12.343005630142919
Assam,6105,1307,21.40868140868141
Karnataka,1069,184,17.212347988774557
Maharashtra,4239,597,14.08351026185421
Mizoram,5090,1309,25.717092337917485
Haryana,8935,2149,24.05148293228875
Sikkim,7897,2293,29.036342915031028
Jharkhand,1644,442,26.885644768856448
Andhra Pradesh,1456,200,13.736263736263737
Karnataka,7102,2090,29.428330047873843
Odisha,9467,1439,15.200169008133516
Kerala,925,209,22.594594594594593
Uttarakhand,1813,467,25.758411472697183
Telangana,620,70,11.29032258064516
West Bengal,9968,1477,14.817415730337077
Assam,8256,2471,29.929748062015506
Uttar Pradesh,6179,1653,26.751901602201006
Assam,1910,416,21.780104712041883
Bihar,1236,339,27.427184466019416
West Bengal,5580,594,10.64516129032258
Bihar,5945,1397,23.49873843566022
Odisha,2951,406,13.758048119281598
Manipur,971,231,23.789907312049433
Bihar,4194,850,20.26704816404387
Rajasthan,7624,2067,27.111752360965376
Nagaland,558,165,29.56989247311828
Odisha,3544,788,22.23476297968397
West Bengal,1920,453,23.59375
Manipur,6360,1827,28.726415094339625
Jharkhand,3395,764,22.503681885125186
Uttarakhand,7065,897,12.696390658174098
Arunachal Pradesh,8810,2076,23.564131668558456
Chhattisgarh,5004,1421,28.397282174260592
Karnataka,2209,653,29.560887279311903
Tamil Nadu,8872,984,11.09107303877367
Kerala,4424,500,11.301989150090415
Himachal Pradesh,9582,1717,17.919014819453142
Kerala,9083,2521,27.755146977870748
Assam,9739,2880,29.571824622651192
Punjab,7432,1947,26.197524219590957
Mizoram,6907,1721,24.916751122050094
Andhra Pradesh,1304,337,25.84355828220859
Tamil Nadu,6269,1029,16.414101132557025
Andhra Pradesh,5817,830,14.268523293794052
Gujarat,5901,897,15.20081342145399
Punjab,6088,1299,21.33705650459921
Manipur,3655,1039,28.426812585499317
Karnataka,8125,993,12.221538461538461
Punjab,6148,1450,23.58490566037736
Tripura,2353,548,23.289417764555886
Himachal Pradesh,6246,1481,23.71117515209734
Maharashtra,3597,729,20.266889074228526
Tripura,4718,688,14.582450190758797
Assam,9412,2404,25.541861453463667
Bihar,5509,1584,28.752949718642224
Assam,8732,1031,11.807146129180028
Kerala,7984,1551,19.42635270541082
Maharashtra,5093,1224,24.032986451992933
Mizoram,6361,1524,23.958497091652255
Himachal Pradesh,925,120,12.972972972972974
Himachal Pradesh,1946,567,29.136690647482016
Punjab,3776,894,23.67584745762712
Himachal Pradesh,1722,241,13.995354239256677
Uttarakhand,9059,1454,16.050336681752952
Assam,9996,1496,14.965986394557824
Tripura,8729,1330,15.236567762630312
Rajasthan,5978,1412,23.619939779190364
Bihar,6527,972,14.891987130381493
Madhya Pradesh,9613,2741,28.513471340892544
Manipur,8497,1984,23.349417441449923
Andhra Pradesh,3950,798,20.20253164556962
Chhattisgarh,1958,439,22.420837589376916
Bihar,5229,548,10.480015299292408
Maharashtra,4093,1062,25.946738333740534
Kerala,7069,1626,23.00183901541944
Tamil Nadu,6670,1764,26.44677661169415
Maharashtra,1130,173,15.309734513274337
Uttar Pradesh,1310,271,20.687022900763356
Maharashtra,2303,257,11.159357359965263
Kerala,7611,966,12.692156089869924
Tripura,1684,432,25.653206650831358
Mizoram,2378,675,28.385197645079902
Tripura,2580,633,24.53488372093023
Sikkim,7094,1739,24.513673526924162
Manipur,1699,375,22.07180694526192
Uttar Pradesh,1511,224,14.824619457313037
Mizoram,6274,1412,22.505578578259485
Uttar Pradesh,3358,790,23.525908278737344
Tamil Nadu,1816,195,10.737885462555067
Sikkim,8820,2130,24.149659863945576
Punjab,5516,682,12.364031907179115
Arunachal Pradesh,9766,1204,12.328486586115094
Himachal Pradesh,6938,1298,18.708561545113866
Andhra Pradesh,8491,1226,14.438817571546341
Chhattisgarh,5233,1116,21.326199120963118
West Bengal,1795,257,14.317548746518105
West Bengal,526,55,10.456273764258556
Uttar Pradesh,6404,1120,17.489069331667707
Gujarat,1441,373,25.88480222068008
Sikkim,8341,2054,24.62534468289174
Maharashtra,4842,860,17.761255679471294
Haryana,3418,820,23.990637799882972
Tripura,4667,490,10.499250053567602
Tripura,1996,324,16.23246492985972
Meghalaya,9214,1189,12.904276101584545
Jharkhand,1063,129,12.13546566321731
Odisha,8534,1802,21.115537848605577
Himachal Pradesh,1780,478,26.853932584269664
Tamil Nadu,6714,1589,23.66696455168305
Meghalaya,3290,928,28.206686930091184
Kerala,9741,1957,20.090339800841804
Gujarat,9807,1834,18.70092790863669
Meghalaya,4065,744,18.30258302583026
Uttar Pradesh,2545,534,20.982318271119844
Arunachal Pradesh,6237,1211,19.41638608305275
Tamil Nadu,6145,1253,20.390561432058586
Madhya Pradesh,4577,1071,23.399606729298668
Tripura,4013,767,19.11288312982806
Tripura,6640,1187,17.876506024096386
Bihar,3074,563,18.31489915419649
Odisha,7803,1867,23.926694860950917
Meghalaya,9508,1477,15.534286916281026
Bihar,4669,1040,22.27457699721568
Karnataka,3109,817,26.27854615632036
Madhya Pradesh,3064,907,29.601827676240212
Gujarat,8580,2299,26.794871794871796
Bihar,3420,703,20.555555555555554
Tamil Nadu,3830,729,19.033942558746737
Goa,3092,416,13.454075032341525
Telangana,6317,833,13.1866392274814
Kerala,1850,462,24.972972972972972
Andhra Pradesh,5577,901,16.15563923256231
Kerala,1168,321,27.482876712328768
Himachal Pradesh,8335,1378,16.532693461307737
Rajasthan,5368,965,17.976900149031298
Karnataka,8659,1540,17.78496362166532
Tamil Nadu,5837,689,11.804008908685969
Kerala,6354,1592,25.055083412023922
Goa,6975,804,11.526881720430108
Meghalaya,3262,620,19.00674432863274
Himachal Pradesh,5814,1267,21.792225662194703
Assam,5951,944,15.862880188203663
West Bengal,7232,946,13.08075221238938
Punjab,4040,984,24.356435643564357
Uttar Pradesh,2173,647,29.774505292222734
